"","LastName","value","L1"
"216","Squires","JH",24951208
"217","Broccoli","G",24940630
"218","Kabakaş","F",24936843
"219","De Smet","L",24873094
"220","Dy","CJ",24857823
"221","LaPorte","DM",24785703
"222","Wagner","J",24754550
"223","Moritomo","H",24752202
"224","Bain","GI",24694387
"225","Lee Master","D",24680305
"226","Geissler","WB",24651289
"227","Kümmel","A",24622905
"228","Pouliot","M",24614866
"229","Nishiwaki","M",24594268
"230","Koh","KH",24579220
"231","Spies","CK",24549807
"232","Jang","E",24533243
"233","Ross","M",24533242
"234","Moritomo","H",24533241
"235","Nakamura","T",24533240
"236","Kulhawik","D",24523832
"237","Mariappan","E",24455371
"238","Riggenbach","MD",24436838
"239","Mok","D",24436813
"240","Kouwenhoven","ST",24436811
"241","Binder","AC",24436810
"242","Takahashi","Y",24436794
"243","Richards","TA",24411292
"244","Andersson","JK",24401745
"245","Deniz","G",24318212
"246","Nishizuka","T",24293601
"247","Pirolo","JM",24286746
"248","Mirza","A",24275057
"249","Ring","D",24275056
"250","Yamabe","E",24227687
"251","Kim","B",24209673
"252","Desai","MJ",24206982
"253","Ruston","J",24205765
"254","Hess","F",24179720
"255","Ong","MT",24179719
"256","Strobel","K",24177809
"257","Read","J",24159093
"258","Jones","C",24055912
"259","Spies","CK",24016831
"260","Becce","F",24016830
"261","Ogawa","T",24004506
"262","Luchetti","R",23962870
"263","Ringler","MD",23910380
"264","Wollstein","R",23904982
"265","Hagert","E",23904980
"266","Al-Hiari","AA",23862035
"267","Mirza","A",23849735
"268","Ahsan","ZS",23830678
"269","Lee","RK",23812413
"270","Khanchandani","P",23798761
"271","Cerny","M",23743056
"272","Lindau","T",23704306
"273","Farr","S",23649013
"274","Zyluk","A",23493197
"275","Abe","Y",23442342
"276","Kim","S",23431520
"277","Kang","HJ",23430724
"278","Tang","C",23413845
"279","Garcia-Lopez","I",23409566
"280","Oda","T",23390153
"281","Shinohara","T",23351910
"282","Tse","WL",23337702
"283","Jung","JY",23319720
"284","Saito","T",23303832
"285","Löw","S",23254378
"286","Gaumet","G",23182183
"287","Tatebe","M",23174060
"288","Thomas","BP",23162140
"289","Cardenas-Montemayor","E",23143290
"290","Iida","A",23123149
"291","Wolf","MB",23101530
"292","Cho","CH",23061960
"293","Yamabe","E",23047280
"294","Kataoka","T",23035003
"295","Hahn","P",23027337
"296","McBeath","R",22995699
"297","Koskinen","SK",22990597
"298","Löw","S",22983095
"299","Unglaub","F",22961320
"300","Lee","YH",22959873
"301","Farr","S",22951372
"302","Slutsky","DJ",22916867
"303","Osterman","AL",22883878
"304","Howard","TC",22883877
"305","Baratz","ME",22883876
"306","Jarrett","CD",22883875
"307","Wiedrich","TA",22883874
"308","Howard","TC",22883873
"309","Harvey","NM",22883872
"310","Ko","JH",22883871
"311","Mrkonjic","A",22835585
"312","Bergh","TH",22819266
"313","Vonier","D",22806223
"314","Langner","I",22749480
"315","Abe","Y",22745082
"316","Sachar","K",22721461
"317","Schädel-Höpfner","M",22706650
"318","Wijffels","M",22675411
"319","Mahmood","A",22675410
"320","Nöbauer-Huhmann","IM",22648425
"321","Dy","CJ",22644423
"322","Tang","CY",22624787
"323","Leversedge","FJ",22554666
"324","Smith","TO",22552672
"325","Havulinna","J",22448553
"326","Yoshioka","H",22434698
"327","Tan","SW",22434293
"328","Scheer","JH",22424702
"329","Boquet","J",22381264
"330","Wysocki","RW",22305741
"331","Geissler","WB",22281170
"332","Foster","BJ",22192166
"333","Farr","S",22159549
"334","Iordache","SD",22129657
"335","Unglaub","F",22123053
"336","Prosser","R",22093123
"337","Lee","SJ",22072191
"338","Ramdhian-Wihlm","R",22064983
"339","Ehman","EC",22036278
"340","Fujitani","R",22036131
"341","Herzberg","G",22030264
"342","Zhu","JQ",22007577
"343","Atesok","KI",21980027
"344","Theumann","N",21922201
"345","Kim","BS",21909465
"346","Tibrewal","S",21898036
"347","Nakamura","T",21871351
"348","Geissler","WB",21871350
"349","Atzei","A",21871349
"350","Slutsky","DJ",21871348
"351","Trumble","T",21871347
"352","Yao","J",21871346
"353","Iwasaki","N",21868189
"354","Kordasiewicz","B",21857068
"355","Nguyen","MK",21820268
"356","Pürisa","H",21765230
"357","Roenbeck","K",21763082
"358","Mühldorfer-Fodor","M",21590371
"359","Abe","Y",21548155
"360","Scheer","JH",21504313
"361","Scheer","JH",21467090
"362","Smith","TO",21467087
"363","Unglaub","F",21463743
"364","Yao","J",21458928
"365","Unglaub","F",21435801
"366","Mi","K",21351599
"367","Burns","JE",21257933
"368","Berkoff","D",22707598
"369","Argintar","E",21107219
"370","Adams","JE",21107218
"371","Taljanovic","MS",21078815
"372","Park","MJ",21053893
"373","Sammer","DM",20951904
"374","Tay","SC",20951899
"375","Kovachevich","R",20951898
"376","Moritomo","H",20934815
"377","Papapetropoulos","PA",20888497
"378","Strauss","NL",20888143
"379","Waterman","SM",20851562
"380","Park","MJ",20732927
"381","Protopsaltis","TS",20684924
"382","Scheer","JH",20621938
"383","Fotiadou","A",20554419
"384","Kleinman","WB",20494751
"385","Löw","S",20480459
"386","Yoshioka","H",20413778
"387","Yamamoto","M",20358334
"388","Yadav","DK",20349135
"389","Zahiri","H",20186414
"390","del Piñal","F",20150390
"391","Xu","J",20137401
"392","Adams","JE",20117315
"393","Pillukat","T",20058126
"394","Watanabe","A",20012039
"395","Unglaub","F",19962063
"396","Moritomo","H",19956042
"397","Unglaub","F",19911185
"398","Calhoun","JG",19838884
"399","Gradl","G",19806529
"400","Hohendorff","B",19790024
"401","Buck","FM",19789223
